date,product,category,quantity,price,cost,profit,revenue,total_cost,total_profit,marketing_channel,customer_id,customer_name,customer_email,transaction_id
2024-08-01 16:28:26.119603,Coffee Maker,Appliances,3,131.84,89.1,42.74,395.52,267.31,128.21,Organic Search,12b4b30c-af99-4e69-8a86-a0fe4a3a417d,Matthew Schneider,shepherdian@example.net,d99899a6-21e1-4edb-aaf8-6afc08388b0a
2024-08-01 16:28:26.119603,Wireless Headphones,Audio,3,102.54,51.7,50.84,307.63,155.1,152.52,Organic Search,e51a9604-e78a-4a1f-ae30-366c9150db65,Lindsey Macdonald,alicia35@example.org,b1070aff-fa0c-46b2-9999-70d0932656ae
2024-08-01 16:28:26.119603,Laptop Pro,Electronics,3,1097.02,439.36,657.67,3291.07,1318.07,1973.0,Organic Search,51292022-04cf-4b08-82df-a022e429618a,Mark Vance,thomasnicole@example.net,460281cc-085a-4adb-850e-88d112d88120
2024-08-01 16:28:26.119603,Coffee Maker,Appliances,1,102.8,50.25,52.56,102.8,50.25,52.56,Organic Search,1e32ab03-1fe9-4052-a77d-5b7425c5b343,Kenneth Williams,christopherparker@example.org,4d8d7560-7060-400c-ae54-82d3b3e1d5f5
2024-08-01 16:28:26.119603,Smart Watch,Wearables,2,201.26,119.09,82.17,402.51,238.17,164.34,Social Media,33af92e0-db5f-4a19-b42b-3b067040796b,Angela Michael,eric56@example.net,8ecdf8d8-41aa-4c77-ac54-3f93915d1ba6
2024-08-01 16:28:26.119603,Coffee Maker,Appliances,3,72.38,38.32,34.06,217.14,114.97,102.18,Email,17911404-f680-4b52-ae42-4dd2eb605206,Elizabeth Hughes,heather77@example.net,010e7432-89ac-4559-9336-a9c58272bc53
2024-08-01 16:28:26.119603,USB Drive,Accessories,1,17.23,10.28,6.95,17.23,10.28,6.95,Email,840335ca-828c-4e0e-b5cd-dee224fc23b2,Tina Jackson DDS,blevinsemily@example.net,8e45eb4f-6c7e-4bd0-9d21-b36ca7a24827
2024-08-01 16:28:26.119603,Desk Lamp,Furniture,1,78.29,47.16,31.13,78.29,47.16,31.13,Direct,95b7f8de-83b1-4fe0-84e7-0fb705538b5b,Anthony Huff,john14@example.org,d877e2cf-ac7e-4e74-adb2-f162aa9f7b03
2024-08-01 16:28:26.119603,Blender,Appliances,3,105.98,70.45,35.53,317.93,211.35,106.58,Social Media,d045c715-a772-4628-9471-acc0d88c2b13,Megan Sullivan,bryanjoel@example.org,174cea64-c810-4251-a7c4-d27eb7c32ae1
2024-08-01 16:28:26.119603,Laptop Pro,Electronics,1,1329.58,728.48,601.1,1329.58,728.48,601.1,Social Media,27e27bc9-e7d8-4633-bec5-dad0028bc657,Brent Garrett,clarkbrittany@example.net,2f29375f-c602-49d1-96ab-dc56705a20a1
2024-08-01 16:28:26.119603,Wireless Mouse,Accessories,2,30.47,18.91,11.56,60.94,37.81,23.13,Paid Ads,f263d9d5-097b-4500-973c-04b8300c7749,Eric Brown,staceybenitez@example.net,e98065d8-2742-4a41-962c-edeb1a2cdb2a
2024-08-01 16:28:26.119603,Laptop Pro,Electronics,3,956.62,638.73,317.89,2869.87,1916.2,953.67,Organic Search,3e29d76b-bab4-4f63-97ab-6c47ea87b4a9,Lisa Garcia,uanderson@example.org,712075d6-1b99-4d33-b7a8-e8b1fb5ea4c2
2024-08-01 16:28:26.119603,Laptop Pro,Electronics,1,1245.9,733.82,512.07,1245.9,733.82,512.07,Paid Ads,e2b00a27-9317-441c-8bf7-b2ac58d348c8,Denise Allen,johnathan22@example.com,5b8ba788-f78e-46f8-afb7-f3ed093d4381
2024-08-01 16:28:26.119603,Microphone Pro,Audio,2,149.74,87.37,62.37,299.48,174.74,124.74,Direct,6ef7fc1d-d65b-450a-a051-0d224543d0ca,Phillip Thompson,trevorhernandez@example.com,6c9c4c8d-0c2c-4829-a4f1-ee1efde5da7a
2024-08-01 16:28:26.119603,Desk Lamp,Furniture,2,57.11,26.48,30.63,114.22,52.97,61.25,Email,20e070f6-4400-41f7-b3b0-5bb07c63d533,Christopher Donovan,john25@example.net,30ca23d2-f14b-44ff-869c-1f105b24647c
2024-08-01 16:28:26.119603,Coffee Maker,Appliances,2,217.35,101.11,116.24,434.7,202.21,232.49,Organic Search,59935895-d030-44de-a13f-f7f0937f4901,Lisa Garcia,alexandra28@example.org,17c8340e-e8ed-4256-932a-7b998959039c
2024-08-01 16:28:26.119603,USB Drive,Accessories,3,52.03,27.17,24.85,156.08,81.52,74.56,Email,a2d66f58-966e-4e0a-815c-537984a24513,Dr. Scott Davis,richard77@example.com,615361e6-e62d-47c1-a9f6-b499b3629ece
2024-08-01 16:28:26.119603,Smart Watch,Wearables,1,209.28,97.14,112.15,209.28,97.14,112.15,Organic Search,0fc45a46-46c6-4af1-8375-7c193ed34464,Mark Fitzpatrick,bethany84@example.org,8f78b076-5fd8-4653-8853-707b0a783853
2024-08-01 16:28:26.119603,Blender,Appliances,1,85.64,49.51,36.13,85.64,49.51,36.13,Email,21f4774a-bfb5-4c2e-93ef-a1a4656388d4,John Leonard,sarathomas@example.org,0d4b4c96-c86d-4eef-b1f3-cac5fe92ecad
